,index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw,lat/long,address
7263,7263,AL041893,UNNAMED,1893-08-24 12:00:00,L,HU,40.7,-73.9,75,986.0,,,,,,,,,,,,,"40.7,-73.9","Ridgewood Savings Bank, 71-02, Forest Avenue, Ridgewood, Queens, Queens County, New York, 11385, United States"
7340,7340,AL061893,UNNAMED,1893-08-28 05:00:00,L,HU,31.7,-81.1,100,954.0,,,,,,,,,,,,,"31.7,-81.1","Liberty County, Georgia, United States"
7417,7417,AL081893,UNNAMED,1893-09-07 14:00:00,L,HU,29.2,-91.1,85,,,,,,,,,,,,,,"29.2,-91.1","Terrebonne Parish, Louisiana, United States"
7501,7501,AL091893,UNNAMED,1893-10-13 13:00:00,L,HU,33.0,-79.5,105,955.0,,,,,,,,,,,,,"33.0,-79.5","Charleston County, South Carolina, United States"
7531,7531,AL101893,UNNAMED,1893-10-02 08:00:00,L,HU,29.3,-89.8,115,948.0,,,,,,,,,,,,,"29.3,-89.8","Plaquemines Parish, Louisiana, United States"
7533,7533,AL101893,UNNAMED,1893-10-02 16:00:00,L,HU,30.3,-88.9,95,,,,,,,,,,,,,,"30.3,-88.9","Harrison County, Mississippi, United States"
7557,7557,AL111893,UNNAMED,1893-10-23 03:00:00,L,TS,35.2,-75.6,50,,,,,,,,,,,,,,"35.2,-75.6","Dare County, North Carolina, United States"
7559,7559,AL111893,UNNAMED,1893-10-23 11:00:00,L,TS,38.1,-75.6,45,,,,,,,,,,,,,,"38.1,-75.6","West Pocomoke, Somerset County, Maryland, 21851, United States"
7620,7620,AL021894,UNNAMED,1894-08-07 18:00:00,L,TS,30.3,-87.6,50,,,,,,,,,,,,,,"30.3,-87.6","24615, Gulf Bay Road, Orange Beach, Baldwin County, Alabama, 36561, United States"
7703,7703,AL041894,UNNAMED,1894-09-25 11:00:00,L,HU,24.7,-82.0,70,,,,,,,,,,,,,,"24.7,-82.0","Florida, United States"
7706,7706,AL041894,UNNAMED,1894-09-25 19:00:00,L,HU,26.5,-82.0,90,,,,,,,,,,,,,,"26.5,-82.0","Palm Acres, Punta Rassa, Lee County, Florida, United States"
7713,7713,AL041894,UNNAMED,1894-09-27 07:00:00,L,HU,32.3,-80.7,80,,,,,,,,,,,,,,"32.3,-80.7","Beaufort County, South Carolina, United States"
7718,7718,AL041894,UNNAMED,1894-09-28 12:00:00,L,TS,34.7,-76.7,60,,,,,,,,,,,,,,"34.7,-76.7","East Fort Macon Road, Carteret County, North Carolina, 28512, United States"
7763,7763,AL051894,UNNAMED,1894-10-09 03:00:00,L,HU,30.2,-85.5,105,,,,,,,,,,,,,,"30.2,-85.5","Bay County, Florida, United States"
7770,7770,AL051894,UNNAMED,1894-10-10 15:00:00,L,HU,40.7,-72.9,75,,,,,,,,,,,,,,"40.7,-72.9","Suffolk County, New York, United States"
7868,7868,AL011895,UNNAMED,1895-08-15 19:00:00,L,TS,29.3,-89.6,50,,,,,,,,,,,,,,"29.3,-89.6","Plaquemines Parish, Louisiana, United States"
7872,7872,AL011895,UNNAMED,1895-08-16 13:00:00,L,TS,30.2,-88.8,45,,,,,,,,,,,,,,"30.2,-88.8","Harrison County, Mississippi, United States"
7974,7974,AL041895,UNNAMED,1895-10-07 04:00:00,L,TS,29.3,-94.8,35,,,,,,,,,,,,,,"29.3,-94.8","Henry Beissner House, Ball Street - Avenue H, Galveston, Galveston County, Texas, 77550, United States"
8050,8050,AL061895,UNNAMED,1895-10-16 13:00:00,L,TS,25.7,-81.3,35,,,,,,,,,,,,,,"25.7,-81.3","Monroe County, Florida, United States"
8066,8066,AL011896,UNNAMED,1896-07-07 17:00:00,L,HU,30.4,-86.5,85,,,,,,,,,,,,,,"30.4,-86.5","345, Evergreen Place, Destin, Okaloosa County, Florida, 32541, United States"
8133,8133,AL021896,UNNAMED,1896-09-10 13:00:00,L,HU,41.2,-70.6,70,,,,,,,,,,,,,,"41.2,-70.6",United States
8211,8211,AL041896,UNNAMED,1896-09-29 11:00:00,L,HU,29.2,-83.1,110,960.0,,,,,,,,,,,,,"29.2,-83.1","Levy County, Florida, United States"
8226,8226,AL051896,UNNAMED,1896-10-09 02:00:00,L,TS,26.4,-82.0,50,,,,,,,,,,,,,,"26.4,-82.0","Lee County, Florida, United States"
8373,8373,AL021897,UNNAMED,1897-09-10 18:00:00,L,TS,24.4,-81.9,60,,,,,,,,,,,,,,"24.4,-81.9",United States
8383,8383,AL021897,UNNAMED,1897-09-13 05:00:00,L,HU,29.7,-93.8,75,,,,,,,,,,,,,,"29.7,-93.8","Cameron Parish, Louisiana, United States"
8390,8390,AL031897,UNNAMED,1897-09-21 02:00:00,L,TS,26.7,-82.3,60,,,,,,,,,,,,,,"26.7,-82.3","Lee County, Florida, United States"
8400,8400,AL031897,UNNAMED,1897-09-23 10:00:00,L,TS,35.2,-75.7,60,,,,,,,,,,,,,,"35.2,-75.7","Mountains-to-Sea Trail, Dare County, North Carolina, 27943, United States"
8405,8405,AL031897,UNNAMED,1897-09-24 11:00:00,L,TS,40.8,-72.7,55,,,,,,,,,,,,,,"40.8,-72.7","10, Bayview Lane, Suffolk County, New York, 11960, United States"
8407,8407,AL031897,UNNAMED,1897-09-24 13:00:00,L,TS,41.3,-72.2,45,,,,,,,,,,,,,,"41.3,-72.2","Cahill Road, Attawan Beach, Black Point Beach Club AKA New Black Point, East Lyme, New London County, Connecticut, 06357, United States"
8477,8477,AL051897,UNNAMED,1897-10-20 20:00:00,L,TS,35.2,-75.5,55,,,,,,,,,,,,,,"35.2,-75.5","Dare County, North Carolina, United States"
8497,8497,AL061897,UNNAMED,1897-10-25 23:00:00,L,TS,36.1,-75.8,55,,,,,,,,,,,,,,"36.1,-75.8","Halls Harbor Road, Harbinger, Currituck County, North Carolina, 27941, United States"
8523,8523,AL011898,UNNAMED,1898-08-02 03:00:00,L,TS,27.1,-80.1,35,,,,,,,,,,,,,,"27.1,-80.1","Martin County, Florida, United States"
8527,8527,AL011898,UNNAMED,1898-08-02 23:00:00,L,HU,29.7,-84.8,70,,,,,,,,,,,,,,"29.7,-84.8","Franklin County, Florida, United States"
8537,8537,AL021898,UNNAMED,1898-08-31 07:00:00,L,HU,32.1,-80.8,75,,,,,,,,,,,,,,"32.1,-80.8","Sea Pines, Hilton Head Island, Beaufort County, South Carolina, United States"
8650,8650,AL051898,UNNAMED,1898-09-20 11:00:00,L,TS,29.6,-92.8,50,,,,,,,,,,,,,,"29.6,-92.8","Cameron Parish, Louisiana, United States"
8692,8692,AL061898,UNNAMED,1898-09-28 07:00:00,L,TS,29.4,-94.7,50,,,,,,,,,,,,,,"29.4,-94.7","The Biscayne, Galveston County, Texas, 77650, United States"
8726,8726,AL071898,UNNAMED,1898-10-02 16:00:00,L,HU,30.9,-81.4,115,938.0,,,,,,,,,,,,,"30.9,-81.4","Camden County, Georgia, United States"
8859,8859,AL011899,UNNAMED,1899-06-27 09:00:00,L,TS,29.1,-95.1,35,,,,,,,,,,,,,,"29.1,-95.1","26423, Cat Trail, Pointe West, Galveston, Galveston County, Texas, 77554, United States"
8870,8870,AL021899,UNNAMED,1899-07-30 10:00:00,L,TS,24.9,-80.6,40,,,,,,,,,,,,,,"24.9,-80.6","Monroe County, Florida, United States"
8880,8880,AL021899,UNNAMED,1899-08-01 17:00:00,L,HU,29.7,-84.7,85,,,,,,,,,,,,,,"29.7,-84.7","Franklin County, Florida, United States"
8947,8947,AL031899,UNNAMED,1899-08-18 01:00:00,L,HU,35.2,-75.8,105,,,,,,,,,,,,,,"35.2,-75.8","Hyde County, North Carolina, United States"
9127,9127,AL061899,UNNAMED,1899-10-05 10:00:00,L,TS,27.9,-82.8,50,,,,,,,,,,,,,,"27.9,-82.8","1870, 11th Street Southwest, Ridgecrest, Pinellas County, Florida, 33778, United States"
9193,9193,AL091899,UNNAMED,1899-10-31 09:00:00,L,HU,33.6,-79.0,95,,,,,,,,,,,,,,"33.6,-79.0","1654, Hunsberger Drive, Ocean Breeze, Garden City Beach, Horry County, South Carolina, 29576, United States"
9281,9281,AL011900,UNNAMED,1900-09-09 02:00:00,L,HU,29.1,-95.1,120,936.0,,,,,,,,,,,,,"29.1,-95.1","26423, Cat Trail, Pointe West, Galveston, Galveston County, Texas, 77554, United States"
9430,9430,AL041900,UNNAMED,1900-09-13 06:00:00,L,TS,29.1,-89.5,40,,,,,,,,,,,,,,"29.1,-89.5",United States
9432,9432,AL041900,UNNAMED,1900-09-13 15:00:00,L,TS,30.3,-88.8,35,,,,,,,,,,,,,,"30.3,-88.8","Harrison County, Mississippi, United States"
9492,9492,AL061900,UNNAMED,1900-10-12 03:00:00,L,TS,29.5,-83.3,40,,,,,,,,,,,,,,"29.5,-83.3","Dixie County, Florida, United States"
9544,9544,AL011901,UNNAMED,1901-06-13 21:00:00,L,TS,29.9,-84.6,35,,,,,,,,,,,,,,"29.9,-84.6","Crooked River Road, Franklin County, Florida, 32323, United States"
9589,9589,AL021901,UNNAMED,1901-07-10 10:00:00,L,TS,28.6,-96.0,45,,,,,,,,,,,,,,"28.6,-96.0","Matagorda County, Texas, United States"
9622,9622,AL031901,UNNAMED,1901-07-11 07:00:00,L,HU,36.0,-75.8,70,,,,,,,,,,,,,,"36.0,-75.8","Dare County, North Carolina, United States"
9629,9629,AL031901,UNNAMED,1901-07-12 22:00:00,L,TS,34.0,-77.9,35,,,,,,,,,,,,,,"34.0,-77.9","Kure Beach Pier, Kure Beach, New Hanover County, North Carolina, 28449, United States"
9670,9670,AL041901,UNNAMED,1901-08-10 22:00:00,L,TS,26.3,-80.1,40,,,,,,,,,,,,,,"26.3,-80.1","1369, Southeast 2nd Terrace, Shorewood, Deerfield Beach, Broward County, Florida, 33441, United States"
9687,9687,AL041901,UNNAMED,1901-08-14 21:00:00,L,HU,29.3,-89.6,75,,,,,,,,,,,,,,"29.3,-89.6","Plaquemines Parish, Louisiana, United States"
9691,9691,AL041901,UNNAMED,1901-08-15 17:00:00,L,HU,30.4,-88.8,75,,,,,,,,,,,,,,"30.4,-88.8","207, Halstead Road, Ocean Springs, Jackson County, Mississippi, 39564-3033, United States"
9835,9835,AL081901,UNNAMED,1901-09-17 20:00:00,L,TS,30.4,-86.6,50,,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
9897,9897,AL101901,UNNAMED,1901-09-28 03:00:00,L,TS,29.9,-84.6,40,,,,,,,,,,,,,,"29.9,-84.6","Crooked River Road, Franklin County, Florida, 32323, United States"
10011,10011,AL011902,UNNAMED,1902-06-14 23:00:00,L,TS,29.8,-83.7,50,,,,,,,,,,,,,,"29.8,-83.7","Florida, United States"
10048,10048,AL021902,UNNAMED,1902-06-26 21:00:00,L,TS,27.7,-97.2,60,,,,,,,,,,,,,,"27.7,-97.2","Corpus Christi, Nueces County, Texas, United States"
10132,10132,AL041902,UNNAMED,1902-10-10 21:00:00,L,TS,30.3,-87.3,50,,,,,,,,,,,,,,"30.3,-87.3","Escambia County, Florida, United States"
10246,10246,AL031903,UNNAMED,1903-09-11 23:00:00,L,HU,26.1,-80.1,75,976.0,,,,,,,,,,,,,"26.1,-80.1","Harbor Heights, Fort Lauderdale, Broward County, Florida, 33316, United States"
10255,10255,AL031903,UNNAMED,1903-09-13 23:00:00,L,HU,30.1,-85.6,80,,,,,,,,,,,,,,"30.1,-85.6","Bay View Housing, Bay County, Florida, 32403, United States"
10286,10286,AL041903,UNNAMED,1903-09-16 11:00:00,L,HU,39.1,-74.7,70,990.0,,,,,,,,,,,,,"39.1,-74.7","Cape May County, New Jersey, United States"
10515,10515,AL021904,UNNAMED,1904-09-14 13:00:00,L,HU,33.1,-79.2,70,,,,,,,,,,,,,,"33.1,-79.2","Sturgeon Island, Georgetown County, South Carolina, United States"
10570,10570,AL041904,UNNAMED,1904-10-17 08:00:00,L,HU,25.3,-80.3,70,,,,,,,,,,,,,,"25.3,-80.3","CR 905, Monroe County, Florida, United States"
10583,10583,AL041904,UNNAMED,1904-10-20 10:00:00,L,TS,25.5,-81.2,35,,,,,,,,,,,,,,"25.5,-81.2","Monroe County, Florida, United States"
10629,10629,AL061904,UNNAMED,1904-11-03 12:00:00,L,TS,30.3,-86.7,35,,,,,,,,,,,,,,"30.3,-86.7","Florida, United States"
10696,10696,AL031905,UNNAMED,1905-09-29 10:00:00,L,TS,29.6,-92.6,45,,,,,,,,,,,,,,"29.6,-92.6","Vermilion Parish, Louisiana, United States"
10772,10772,AL051905,UNNAMED,1905-10-09 17:00:00,L,TS,29.5,-91.4,45,,,,,,,,,,,,,,"29.5,-91.4","Wax Lake Delta, St. Mary Parish, Louisiana, United States"
10800,10800,AL011906,UNNAMED,1906-06-12 20:00:00,L,TS,30.1,-85.6,45,,,,,,,,,,,,,,"30.1,-85.6","Bay View Housing, Bay County, Florida, 32403, United States"
10821,10821,AL021906,UNNAMED,1906-06-17 03:00:00,L,HU,24.7,-81.1,70,,,,,,,,,,,,,,"24.7,-81.1","20th Street Ocean, Marathon, Monroe County, Florida, United States"
10823,10823,AL021906,UNNAMED,1906-06-17 08:00:00,L,HU,25.2,-80.7,75,979.0,,,,,,,,,,,,,"25.2,-80.7","Miami-Dade County, Florida, United States"
10997,10997,AL051906,UNNAMED,1906-09-17 22:00:00,L,HU,33.3,-79.2,80,977.0,,,,,,,,,,,,,"33.3,-79.2","Caines, Georgetown County, South Carolina, United States"
11034,11034,AL061906,UNNAMED,1906-09-27 11:00:00,L,HU,30.2,-88.6,95,,,,,,,,,,,,,,"30.2,-88.6","Jackson County, Mississippi, United States"
11132,11132,AL081906,UNNAMED,1906-10-18 10:00:00,L,HU,24.7,-81.1,105,,,,,,,,,,,,,,"24.7,-81.1","20th Street Ocean, Marathon, Monroe County, Florida, United States"
11133,11133,AL081906,UNNAMED,1906-10-18 12:00:00,L,HU,25.3,-80.7,105,953.0,,,,,,,,,,,,,"25.3,-80.7","Miami-Dade County, Florida, United States"
11145,11145,AL081906,UNNAMED,1906-10-21 09:00:00,L,TS,30.0,-81.4,50,,,,,,,,,,,,,,"30.0,-81.4","St Marks Pond Boulevard, St. Johns County, Florida, 32095, United States"
11234,11234,AL011907,UNNAMED,1907-06-28 23:00:00,L,TS,30.3,-85.9,50,,,,,,,,,,,,,,"30.3,-85.9","Side Camp Road, Laird, Bay County, Florida, 32461, United States"
11256,11256,AL021907,UNNAMED,1907-09-21 17:00:00,L,TS,30.4,-88.9,40,,,,,,,,,,,,,,"30.4,-88.9","224, Benachi Avenue, Biloxi, Harrison County, Mississippi, 39501, United States"
11273,11273,AL031907,UNNAMED,1907-09-28 20:00:00,L,TS,30.1,-85.7,45,,,,,,,,,,,,,,"30.1,-85.7","Upper Grand Lagoon, Bay County, Florida, 32411, United States"
11355,11355,AL021908,UNNAMED,1908-05-29 21:00:00,L,HU,35.2,-75.6,65,989.0,,,,,,,,,,,,,"35.2,-75.6","Dare County, North Carolina, United States"
11360,11360,AL021908,UNNAMED,1908-05-30 23:00:00,L,TS,41.3,-72.0,35,,,,,,,,,,,,,,"41.3,-72.0","Noank, Groton, New London County, Connecticut, 06388, United States"
11393,11393,AL031908,UNNAMED,1908-07-31 11:00:00,L,HU,34.6,-77.1,70,,,,,,,,,,,,,,"34.6,-77.1","Carteret County, North Carolina, United States"
11420,11420,AL041908,UNNAMED,1908-07-31 22:00:00,L,TS,29.5,-91.9,50,,,,,,,,,,,,,,"29.5,-91.9","Iberia Parish, Louisiana, United States"
11441,11441,AL051908,UNNAMED,1908-09-01 08:00:00,L,TS,34.6,-76.6,45,,,,,,,,,,,,,,"34.6,-76.6","Carteret County, North Carolina, United States"
11649,11649,AL021909,UNNAMED,1909-06-29 17:00:00,L,HU,26.1,-97.2,85,972.0,,,,,,,,,,,,,"26.1,-97.2","Cameron County, Texas, United States"
11664,11664,AL031909,UNNAMED,1909-06-28 20:00:00,L,TS,26.0,-80.1,45,,,,,,,,,,,,,,"26.0,-80.1","Beverly Beach, Hollywood, Broward County, Florida, 33009-4818, United States"
11672,11672,AL031909,UNNAMED,1909-06-30 14:00:00,L,TS,30.1,-84.1,35,,,,,,,,,,,,,,"30.1,-84.1","Wakulla County, Florida, United States"
11723,11723,AL041909,UNNAMED,1909-07-21 17:00:00,L,HU,28.9,-95.3,100,,,,,,,,,,,,,,"28.9,-95.3","Cone Island, Brazoria County, Texas, United States"
11802,11802,AL081909,UNNAMED,1909-08-29 09:00:00,L,TS,26.4,-80.1,45,,,,,,,,,,,,,,"26.4,-80.1","798, Park of Commerce Drive, Boca Raton, Palm Beach County, Florida, 33487, United States"
11843,11843,AL091909,UNNAMED,1909-09-21 00:00:00,L,HU,29.5,-91.3,100,952.0,,,,,,,,,,,,,"29.5,-91.3","Atchafalaya River Delta, St. Mary Parish, Louisiana, United States"
11890,11890,AL111909,UNNAMED,1909-10-11 18:00:00,L,HU,24.7,-81.0,100,957.0,,,,,,,,,,,,,"24.7,-81.0","Monroe County, Florida, United States"
12013,12013,AL031910,UNNAMED,1910-09-14 22:00:00,L,HU,26.9,-97.4,90,,,,,,,,,,,,,,"26.9,-97.4","Kenedy, Texas, United States"
12077,12077,AL051910,UNNAMED,1910-10-18 06:00:00,L,HU,26.5,-82.0,95,955.0,,,,,,,,,,,,,"26.5,-82.0","Palm Acres, Punta Rassa, Lee County, Florida, United States"
12145,12145,AL021911,UNNAMED,1911-08-11 22:00:00,L,HU,30.3,-87.5,70,,,,,,,,,,,,,,"30.3,-87.5","30851, Peninsula Drive, Orange Beach, Baldwin County, Alabama, 36561, United States"
12178,12178,AL031911,UNNAMED,1911-08-28 10:00:00,L,HU,32.2,-80.7,85,972.0,,,,,,,,,,,,,"32.2,-80.7","598, William Hilton Parkway, Hilton Head Island, Beaufort County, South Carolina, 29928, United States"
12300,12300,AL011912,UNNAMED,1912-06-13 05:00:00,L,TS,29.6,-91.6,60,,,,,,,,,,,,,,"29.6,-91.6","St. Mary Parish, Louisiana, United States"
12332,12332,AL021912,UNNAMED,1912-07-15 15:00:00,L,TS,31.3,-81.3,45,,,,,,,,,,,,,,"31.3,-81.3","McIntosh County, Georgia, United States"
12377,12377,AL041912,UNNAMED,1912-09-14 08:00:00,L,HU,30.3,-88.4,65,,,,,,,,,,,,,,"30.3,-88.4","Jackson County, Mississippi, United States"
12433,12433,AL061912,UNNAMED,1912-10-16 18:00:00,L,HU,27.1,-97.4,85,,,,,,,,,,,,,,"27.1,-97.4","Kenedy, Texas, United States"
12510,12510,AL011913,UNNAMED,1913-06-28 01:00:00,L,HU,27.1,-97.4,65,,,,,,,,,,,,,,"27.1,-97.4","Kenedy, Texas, United States"
12611,12611,AL041913,UNNAMED,1913-09-03 08:00:00,L,HU,34.7,-76.6,75,976.0,,,,,,,,,,,,,"34.7,-76.6","Carteret County, North Carolina, United States"
12642,12642,AL051913,UNNAMED,1913-10-08 14:00:00,L,HU,33.1,-79.4,65,,,,,,,,,,,,,,"33.1,-79.4","Charleston County, South Carolina, United States"
12673,12673,AL011914,UNNAMED,1914-09-17 07:00:00,L,TS,30.6,-81.4,60,,,,,,,,,,,,,,"30.6,-81.4","Nassau County, Florida, United States"
12688,12688,AL011915,UNNAMED,1915-08-01 18:00:00,L,HU,28.7,-80.8,65,990.0,,,,,,,,,,,,,"28.7,-80.8","Brevard County, Florida, United States"
12752,12752,AL021915,UNNAMED,1915-08-17 07:00:00,L,HU,29.2,-95.1,115,940.0,,,,,,,,,,,,,"29.2,-95.1","Brazoria County, Texas, United States"
12854,12854,AL041915,UNNAMED,1915-09-04 11:00:00,L,HU,30.0,-85.4,80,,,,,,,,,,,,,,"30.0,-85.4","Bay County, Florida, United States"
12914,12914,AL061915,UNNAMED,1915-09-29 18:00:00,L,HU,29.0,-90.3,110,944.0,,,,,,,,,,,,,"29.0,-90.3","East Timbalier Island, Lafourche Parish, Louisiana, United States"
12926,12926,AL011916,UNNAMED,1916-05-14 06:00:00,L,TS,25.1,-81.0,35,1006.0,,,,,,,,,,,,,"25.1,-81.0","Monroe County, Florida, United States"
12972,12972,AL021916,UNNAMED,1916-07-05 21:00:00,L,HU,30.4,-88.4,105,950.0,,,,,,,,,,,,,"30.4,-88.4","Jackson County, Mississippi, United States"
13039,13039,AL031916,UNNAMED,1916-07-21 13:00:00,L,TS,41.4,-71.2,60,993.0,,,,,,,,,,,,,"41.4,-71.2","Newport County, Rhode Island, United States"
13058,13058,AL041916,UNNAMED,1916-07-14 08:00:00,L,HU,32.9,-79.5,95,960.0,,,,,,,,,,,,,"32.9,-79.5","White Island, Charleston County, South Carolina, United States"
13102,13102,AL061916,UNNAMED,1916-08-18 22:00:00,L,HU,27.0,-97.4,115,932.0,,,,,,,,,,,,,"27.0,-97.4","Kenedy, Texas, United States"
13125,13125,AL071916,UNNAMED,1916-08-25 08:00:00,L,TS,25.6,-80.3,40,,,,,,,,,,,,,,"25.6,-80.3","Miami-Dade County, Florida, United States"
13163,13163,AL091916,UNNAMED,1916-09-06 06:00:00,L,TS,33.9,-78.3,45,,,,,,,,,,,,,,"33.9,-78.3","Brunswick County, North Carolina, United States"
13244,13244,AL121916,UNNAMED,1916-10-04 21:00:00,L,TS,31.5,-81.4,50,,,,,,,,,,,,,,"31.5,-81.4","McIntosh County, Georgia, United States"
13320,13320,AL141916,UNNAMED,1916-10-18 14:00:00,L,HU,30.4,-87.4,95,970.0,,,,,,,,,,,,,"30.4,-87.4","606, Halcyon Circle, Escambia County, Florida, 32506, United States"
13476,13476,AL041917,UNNAMED,1917-09-29 02:00:00,L,HU,30.4,-86.6,100,949.0,,,,,,,,,,,,,"30.4,-86.6","Miller Time Charter Boats, Miracle Strip Parkway, Okaloosa County, Florida, 32548, United States"
13505,13505,AL011918,UNNAMED,1918-08-06 18:00:00,L,HU,29.8,-93.2,105,955.0,,,,,,,,,,,,,"29.8,-93.2","226, Jimmy Savoie Road, Cameron Parish, Louisiana, 70631, United States"
13535,13535,AL031918,UNNAMED,1918-08-24 21:00:00,L,HU,34.8,-76.8,65,,,,,,,,,,,,,,"34.8,-76.8","Carteret County, North Carolina, United States"
13625,13625,AL011919,UNNAMED,1919-07-04 11:00:00,L,TS,30.4,-87.0,55,995.0,,,,,,,,,,,,,"30.4,-87.0","5300, East Bay Boulevard, Santa Rosa County, Florida, 32563, United States"
13677,13677,AL021919,UNNAMED,1919-09-10 07:00:00,L,HU,24.6,-82.9,130,927.0,,,,,,,,,,,,,"24.6,-82.9","Monroe County, Florida, United States"
13696,13696,AL021919,UNNAMED,1919-09-14 21:00:00,L,HU,27.2,-97.3,100,950.0,,,,,,,,,,,,,"27.2,-97.3","Cuba Island, Texas, United States"
13713,13713,AL041919,UNNAMED,1919-10-01 01:00:00,L,TS,31.2,-81.3,40,,,,,,,,,,,,,,"31.2,-81.3","Glynn County, Georgia, United States"
13804,13804,AL021920,UNNAMED,1920-09-22 01:00:00,L,HU,29.1,-90.8,85,975.0,,,,,,,,,,,,,"29.1,-90.8","Terrebonne Parish, Louisiana, United States"
13826,13826,AL031920,UNNAMED,1920-09-23 06:00:00,L,TS,33.7,-78.2,55,,,,,,,,,,,,,,"33.7,-78.2",
13869,13869,AL051920,UNNAMED,1920-09-30 09:00:00,L,TS,28.9,-82.9,55,,,,,,,,,,,,,,"28.9,-82.9","Florida, United States"
13899,13899,AL011921,UNNAMED,1921-06-22 18:00:00,L,HU,28.5,-95.9,80,980.0,,,,,,,,,,,,,"28.5,-95.9","Tiger Island, Matagorda County, Texas, United States"
14067,14067,AL061921,UNNAMED,1921-10-25 20:00:00,L,HU,28.1,-82.8,100,958.0,,,,,,,,,,,,,"28.1,-82.8","Palm Harbor, Pinellas County, Florida, 34683, United States"
14308,14308,AL011923,UNNAMED,1923-06-26 05:00:00,L,TS,29.1,-90.1,40,,,,,,,,,,,,,,"29.1,-90.1","Lafourche Parish, Louisiana, United States"
14455,14455,AL061923,UNNAMED,1923-10-16 06:00:00,L,HU,29.2,-91.0,70,983.0,,,,,,,,,,,,,"29.2,-91.0","Terrebonne Parish, Louisiana, United States"
14479,14479,AL071923,UNNAMED,1923-10-19 09:00:00,L,TS,41.3,-70.6,50,,,,,,,,,,,,,,"41.3,-70.6","Edgartown, Dukes County, Massachusetts, 02539, United States"
14489,14489,AL081923,UNNAMED,1923-10-18 01:00:00,L,TS,30.3,-89.0,50,992.0,,,,,,,,,,,,,"30.3,-89.0","Harrison County, Mississippi, United States"
14651,14651,AL051924,UNNAMED,1924-09-15 14:00:00,L,HU,29.7,-85.3,75,980.0,,,,,,,,,,,,,"29.7,-85.3","Pond Road, Gulf County, Florida, United States"
14741,14741,AL081924,UNNAMED,1924-09-29 21:00:00,L,TS,30.0,-84.0,55,,,,,,,,,,,,,,"30.0,-84.0","Florida, United States"
14792,14792,AL101924,UNNAMED,1924-10-21 01:00:00,L,HU,25.8,-81.8,80,975.0,,,,,,,,,,,,,"25.8,-81.8","Florida, United States"
14891,14891,AL041925,UNNAMED,1925-12-01 03:00:00,L,TS,26.3,-81.9,55,,,,,,,,,,,,,,"26.3,-81.9","Florida, United States"
14935,14935,AL011926,UNNAMED,1926-07-28 10:00:00,L,HU,29.0,-80.8,90,967.0,,,,,,,,,,,,,"29.0,-80.8","Cedar Island, Volusia County, Florida, 32141, United States"
15021,15021,AL031926,UNNAMED,1926-08-25 23:00:00,L,HU,29.2,-90.9,100,955.0,,,,,,,,,,,,,"29.2,-90.9","Terrebonne Parish, Louisiana, United States"
15199,15199,AL071926,UNNAMED,1926-09-18 12:00:00,L,HU,25.6,-80.3,125,930.0,,,,,,,,,,,,,"25.6,-80.3","Miami-Dade County, Florida, United States"
15209,15209,AL071926,UNNAMED,1926-09-20 22:00:00,L,HU,30.3,-87.5,100,955.0,,,,,,,,,,,,,"30.3,-87.5","30851, Peninsula Drive, Orange Beach, Baldwin County, Alabama, 36561, United States"
15505,15505,AL051927,UNNAMED,1927-10-03 09:00:00,L,TS,32.5,-80.4,50,,,,,,,,,,,,,,"32.5,-80.4","Colleton County, South Carolina, United States"
15578,15578,AL011928,UNNAMED,1928-08-08 07:00:00,L,HU,27.3,-80.2,85,977.0,,,,,,,,,,,,,"27.3,-80.2","Hutchinson Island South, St. Lucie County, Florida, 34955, United States"
15586,15586,AL011928,UNNAMED,1928-08-10 04:00:00,L,TS,30.0,-84.3,35,,,,,,,,,,,,,,"30.0,-84.3","Wakulla County, Florida, United States"
15625,15625,AL021928,UNNAMED,1928-08-13 03:00:00,L,TS,24.7,-81.4,60,,,,,,,,,,,,,,"24.7,-81.4","Monroe County, Florida, United States"
15632,15632,AL021928,UNNAMED,1928-08-14 14:00:00,L,TS,29.9,-84.7,45,,,,,,,,,,,,,,"29.9,-84.7","Franklin County, Florida, United States"
15717,15717,AL041928,UNNAMED,1928-09-17 00:00:00,L,HU,26.7,-80.0,125,929.0,,,,,,,,,,,,,"26.7,-80.0","Palm Beach County, Florida, United States"
15725,15725,AL041928,UNNAMED,1928-09-18 19:00:00,L,HU,32.5,-80.3,75,976.0,,,,,,,,,,,,,"32.5,-80.3","Sea Breeze, Palmetto Boulevard, Edisto Beach, Colleton County, South Carolina, 29438, United States"
15785,15785,AL011929,UNNAMED,1929-06-28 21:00:00,L,HU,28.3,-96.4,80,982.0,,,,,,,,,,,,,"28.3,-96.4","Bayucos Island, Calhoun County, Texas, 77982, United States"
15831,15831,AL021929,UNNAMED,1929-09-28 13:00:00,L,HU,25.0,-80.5,100,948.0,,,,,,,,,,,,,"25.0,-80.5","Tavernier, Monroe County, Florida, 33070, United States"
